line,station,property_name,bedrooms,livingrooms,building_area,directions1,directions2,decoration,has_elevator,hml,building_height,building_year,building_style,building_location,price_sqm,price_ttl,house,house2
12号线,龙漕路,漕溪四村,2,1,73.74,南,,简装,0,高,6,1986,板楼,万体馆,72960,538,0,0
5号线南延伸段,西渡,浦江花园,3,2,134.84,南,,简装,0,高,6,1999,板楼,西渡,22249,300,0,0
4号线,中山公园,长新小区(长宁),2,0,57.38,东南,,简装,1,高,18,1989,塔楼,中山公园,74940,430,0,0
10号线(新江湾城-虹桥火车站),南京东路,中福城,3,2,184.69,南,,精装,1,中,27,2005,板楼,南京东路,97461,1800,0,0
12号线,大木桥路,春江小区(卢湾),2,0,49.94,南,,简装,0,中,5,1984,板楼,世博滨江,75091,375,0,0
9号线,蓝天路,金杨新村四街坊,2,1,70.51,南,,简装,0,高,6,1995,板楼,金杨,58148,410,0,0
9号线,台儿庄路,金巷小区,2,1,73.32,西南,,精装,1,中,24,2002,塔楼,金桥,42963,315,0,0
9号线,商城路,梅园四街坊,1,1,49.23,南,,精装,0,高,6,1988,板楼,源深,107658,530,0,0
10号线(新江湾城-航中路),龙溪路,东湖小区,2,2,72.38,南,,简装,0,低,3,1997,板楼,古北,78752,570,0,0
13号线,长寿路,乐怡苑(普陀),1,1,29.59,东,,精装,0,中,7,1989,板楼,长寿路,69957,207,0,0
13号线,新天地,公馆77,4,2,174.97,南,,精装,1,低,26,2012,板楼,老西门,102875,1800,0,0
13号线,金运路,澜茵华庭,2,2,75.52,南,,精装,1,高,11,2005,板楼,江桥,46346,350,0,0
6号线,源深体育中心,巨洋豪园,3,2,145.85,南,,精装,1,中,27,2006,板楼,源深,75420,1100,0,0
4号线,宝山路,弘丰新苑,2,1,86.27,南,,简装,1,高,7,1997,板楼,四川北路,60856,525,0,0
2号线,上海科技馆,花木苑,3,2,93,南,北,精装,0,低,6,2000,板楼,花木,73119,680,0,0
7号线,高科西路,东明苑,2,1,78.1,南,,简装,1,高,24,1998,塔楼,世博,60180,470,0,0
12号线,曲阜路,联富假日公寓,1,1,51.63,南,,简装,1,中,24,2007,塔楼,西藏北路,81349,420,0,0
7号线,昌平路,君悦静安,1,1,54.85,北,,精装,1,高,22,2004,塔楼,曹家渡,89335,490,0,0
10号线(新江湾城-虹桥火车站),四川北路,三宝花苑,2,1,80.17,南,,其他,0,高,7,1993,板楼,西藏北路,59873,480,0,0
11号线(花桥-三林),上海游泳馆,中信中山大楼,2,1,123,东,,精装,1,高,20,2000,板塔结合,龙华,61383,755,0,0
9号线,七宝,水清年华花园,2,2,88.54,南,,简装,0,中,6,2005,板楼,七宝,53084,470,0,0
13号线,大渡河路,雅戈尔长风8号,2,2,100.79,南,,精装,1,低,22,2014,板楼,长风,94355,951,0,0
4号线,临平路,飘鹰花苑,3,2,111.96,南,,精装,0,高,7,1998,板楼,临平路,66989,750,0,0
3号线,漕溪路,田林体育公寓,3,2,91.21,南,,精装,1,低,20,1997,塔楼,田林,63590,580,0,0
11号线(花桥-三林),上海汽车城,新城尚上城,1,1,45.96,北,,精装,1,高,13,2013,塔楼,安亭,22411,103,0,0
9号线,小南门,华润外滩九里,3,2,186.64,南,北,精装,1,低,25,2010,板楼,黄浦滨江,130733,2440,0,0
6号线,源深体育中心,竹园高层,2,1,65.72,南,,精装,1,低,26,1991,塔楼,源深,60865,400,0,0
11号线(花桥-三林),江苏路,长宁路234弄,1,1,34.5,西北,,简装,0,高,6,1987,板楼,中山公园,68116,235,0,0
10号线(新江湾城-虹桥火车站),邮电新村,大三小区,1,1,40.24,南,,简装,0,中,6,1978,板楼,曲阳,60786,244.6,0,0
9号线,宜山路,阳光名邸,3,2,135.56,南,,精装,1,低,33,2002,板楼,徐家汇,88153,1195,0,0
7号线,杨高南路,大华锦绣华城(四街区),2,1,76.82,南,,简装,1,高,18,2010,板楼,北蔡,74200,570,0,0
11号线(花桥-三林),安亭,玉兰一村,3,1,85.13,南,,简装,0,中,6,1993,板楼,安亭,27018,230,0,0
6号线,北洋泾路,羽北小区,2,1,77.72,南,北,精装,0,高,6,1994,板楼,洋泾,75271,585,0,0
10号线(新江湾城-虹桥火车站),伊犁路,皇家花园,3,1,115.67,南,,精装,1,高,20,2007,板楼,虹桥,108067,1250,0,0
8号线,黄兴公园,伊格尔公寓,3,1,127.25,南,,简装,1,中,24,1997,塔楼,黄兴公园,52496,668,0,0
1号线,新闸路,国际丽都城,3,2,164.74,东,南,精装,1,中,16,2006,板楼,南京西路,117762,1940,0,0
8号线,鞍山新村,张家浜小区,1,1,38.75,南,,简装,0,高,7,1992,板楼,周家嘴路,56775,220,0,0
2号线,川沙,新川小区,2,1,58.27,南,,精装,0,高,6,1978,板楼,川沙,31749,185,0,0
10号线(新江湾城-虹桥火车站),虹桥路,中华小区,1,1,35.96,北,,简装,0,中,7,1996,板楼,新华路,62570,225,0,0
9号线,曹路,金钻苑,2,1,81.54,南,北,精装,0,高,6,2009,板楼,曹路,42924,350,0,0
3号线,赤峰路,水电小区,2,2,88.11,南,,简装,1,高,7,1995,板楼,凉城,52775,465,0,0
6号线,博兴路,浦三小区,1,1,55.44,南,,简装,0,高,6,1996,板楼,金桥,43291,240,0,0
2号线,威宁路,水霞小区,3,2,70.09,南,,精装,0,高,6,1989,板楼,仙霞,75618,530,0,0
8号线,凌兆新村,岭南苑(凌兆路127弄),4,3,144.25,南,,精装,0,高,6,2003,板楼,三林,50607,730,0,0
7号线,芳华路,培花七村,3,1,81.85,南,,精装,0,高,6,1996,板楼,北蔡,52536,430,0,0
8号线,西藏北路,天通庵路657弄,2,1,57.98,东南,,其他,0,高,7,1997,板楼,四川北路,56917,330,0,0
6号线,临沂新村,六里桥南街118弄,1,1,38.02,暂无数据,,其他,0,高,6,1986,板楼,南码头,51552,196,0,0
8号线,西藏南路,复兴佳苑,4,2,204.32,南,,精装,1,高,20,2002,板楼,五里桥,80756,1650,0,0
11号线(花桥-三林),枫桥路,枫桥苑,2,2,108.36,南,,精装,1,低,18,2001,塔楼,真如,68291,740,0,0
8号线,黄兴公园,松花一村,2,1,50.45,南,,简装,0,高,6,1979,板楼,黄兴公园,49555,250,0,0
11号线(花桥-三林),江苏路,美丽园大酒店,1,1,51.54,西北,,精装,1,中,28,2000,塔楼,静安寺,31044,160,0,0
2号线,华夏东路,顺馨佳园,3,2,123.84,南,,精装,0,低,6,2009,板楼,川沙,43605,540,0,0
3号线,漕溪路,强生花苑,2,2,81,暂无数据,,简装,1,低,24,2001,塔楼,龙华,69136,560,0,0
4号线,中山公园,万华小区,1,1,37.39,南,,毛坯,1,中,7,1990,板楼,中山公园,70875,265,0,0
12号线,江浦公园,长眉小区,1,1,37,南,,简装,0,高,6,1986,板楼,周家嘴路,60811,225,0,0
8号线,江浦路,鞍山四村第一小区,1,1,45.32,南,,简装,0,高,5,1979,板楼,鞍山,61783,280,0,0
3号线,江湾镇,政立路830弄,2,1,57.3,南,,其他,0,高,6,1996,板楼,五角场,57592,330,0,0
浦江线,三鲁公路,金硕河畔景园西区,2,1,70.77,南,北,简装,0,高,6,2010,板楼,浦江,29674,210,0,0
9号线,松江新城,江诚苑,3,2,147.52,南,,精装,1,低,8,1998,板楼,松江新城,32538,480,0,0
13号线,汉中路,达安城,1,1,39.51,东北,,精装,1,低,28,1998,塔楼,南京西路,99975,395,0,0
浦江线,浦航路,欣佳宝邸,2,2,78.91,南,北,精装,1,高,14,2011,板楼,浦江,32949,260,0,0
13号线,武宁路,新丰小区,1,1,48.01,南,,毛坯,0,高,6,1983,板楼,江宁路,71861,345,0,0
8号线,黄兴路,控江路1039弄,2,1,56.82,南,,简装,0,中,5,1987,板楼,周家嘴路,59839,340,0,0
10号线(新江湾城-航中路),紫藤路,龙柏四季花园,2,2,102.33,南,,精装,1,中,11,2004,板楼,龙柏,70867,725.2,0,0
4号线,南浦大桥,北方花苑,2,1,68.32,南,,简装,0,中,7,1998,板楼,蓬莱公园,92214,630,0,0
9号线,顾唐路,新芳邻,2,1,69.69,南,,简装,0,低,6,2002,板楼,曹路,41613,290,0,0
10号线(新江湾城-虹桥火车站),四平路,建邦16区,2,2,91.24,南,,精装,1,低,36,2016,板楼,临平路,96449,880,0,0
9号线,小南门,华润外滩九里,2,2,165.61,南,北,精装,1,低,23,2010,板楼,黄浦滨江,102651,1700,0,0
11号线(花桥-三林),江苏路,长宁88金廷,4,2,273.5,南,北,精装,1,高,30,2011,板楼,中山公园,108958,2980,0,0
4号线,中山公园,国泰大厦,2,2,100.95,西南,,精装,1,高,24,1994,塔楼,中山公园,74889,756,0,0
4号线,上海体育场,文定路89号,2,0,48,东南,,简装,0,中,6,1982,板楼,徐家汇,133125,639,0,0
7号线,静安寺,南阳小区,2,1,72.3,南,,精装,1,中,25,1990,塔楼,南京西路,96128,695,0,0
9号线,宜山路,长春新苑,2,2,103.16,南,,精装,1,中,17,2009,板楼,田林,77356,798,0,0
6号线,金桥路,金泰小区,2,1,67.86,南,,简装,0,低,7,1996,板楼,金桥,55998,380,0,0
8号线,嫩江路,国和二村,1,1,41.85,南,北,精装,0,中,6,1990,板楼,中原,54481,228,0,0
13号线,金运路,万达广场(嘉定),1,1,59.8,南,,其他,1,中,11,2011,塔楼,江桥,23412,140,0,0
10号线(新江湾城-虹桥火车站),四川北路,耀江国际广场(公寓),2,2,99.82,南,,精装,1,中,31,2005,板楼,北外滩,86156,860,0,0
13号线,东明路,昌里花园(三期),3,2,112.14,南,,简装,1,高,18,2003,板楼,世博,68308,766,0,0
8号线,中兴路,复元坊,1,1,34.28,南,西,精装,0,中,6,1993,板楼,西藏北路,78764,270,0,0
6号线,蓝村路,潍坊八村,1,1,34.5,南,,精装,0,高,6,1984,板楼,潍坊,75363,260,0,0
13号线,陈春路,紫叶花园,2,1,67.86,南,,毛坯,0,高,6,1995,板楼,北蔡,52461,356,0,0
2号线,世纪公园,花木绿城锦绣兰庭,2,2,101,南,,精装,1,中,25,2015,板楼,花木,100991,1020,0,0
13号线,马当路,蒙西小区,1,1,38.1,南,,精装,0,高,7,1994,板楼,五里桥,81365,310,0,0
13号线,成山路,云台路255弄,2,1,64.78,南,,简装,0,高,6,1994,板楼,世博,57117,370,0,0
10号线(新江湾城-虹桥火车站),豫园,士林华苑,3,2,151.77,南,,精装,1,高,25,2007,板楼,豫园,105423,1600,0,0
10号线(新江湾城-虹桥火车站),伊犁路,虹桥小区,2,1,47.93,南,,精装,0,中,5,1983,板楼,虹桥,66765,320,0,0
1号线,彭浦新村,闻喜路1223弄,2,0,51.86,南,,简装,0,中,6,1990,板楼,彭浦,47243,245,0,0
9号线,桂林路,宜山路701弄,2,1,49.7,南,,简装,0,中,6,1982,板楼,田林,65393,325,0,0
11号线(花桥-三林),徐家汇,亚都国际名园,2,2,122.97,南,,简装,1,高,32,2003,板楼,徐家汇,97585,1200,0,0
7号线,东安路,金星苑,3,2,127.74,南,,精装,1,低,18,1999,塔楼,斜土路,86113,1100,0,0
1号线,黄陂南路,翠湖天地雅苑,2,2,163.03,南,,精装,1,中,25,2003,板楼,新天地,153347,2500,0,0
9号线,中春路,万科魅力之城,3,2,124.96,南,,简装,0,低,6,2004,板楼,七宝,56018,700,0,0
9号线,宜山路,裕德大厦,2,1,89.05,南,,简装,1,高,7,1998,板楼,徐家汇,84223,750,0,0
5号线,颛桥,华丰苑(阳光新居),2,2,94.07,南,,简装,0,中,6,2003,板楼,颛桥,39333,370,0,0
8号线,中华艺术宫,上南五村,1,1,51.15,西南,,简装,1,高,12,1988,板楼,世博,53373,273,0,0
10号线(新江湾城-虹桥火车站),三门路,三湘未来海岸,3,2,194.95,南,,精装,1,低,10,2013,板楼,新江湾城,61555,1200,0,0
10号线(新江湾城-虹桥火车站),伊犁路,虹东小区,2,1,70.01,东南,,简装,1,中,24,1991,塔楼,虹桥,62563,438,0,0
11号线(花桥-三林),兆丰路,绿地启航城,2,2,86.2,南,,精装,1,高,18,2010,板楼,白鹤,23202,200,0,0
13号线,金沙江路,曹杨九村,2,1,51.18,南,,精装,0,高,7,1977,板楼,曹杨,53732,275,0,0
11号线(花桥-三林),南翔,德华路311号,2,1,59.2,南,,简装,0,中,6,1994,板楼,南翔,37332,221,0,0
6号线,博兴路,沪东新村,2,1,43.03,南,,简装,0,中,5,1953,板楼,金桥,38346,165,0,0
7号线,高科西路,齐二小区,2,1,54,南,,简装,0,高,6,1995,板楼,世博,56482,305,0,0
11号线(花桥-三林),交通大学,汇金广场,2,2,130.63,南,,精装,1,中,28,1998,塔楼,徐家汇,73491,960,0,0
1号线,彭浦新村,康平小区,1,1,32.01,南,,简装,0,中,6,1986,板楼,彭浦,49985,160,0,0
4号线,鲁班路,蒙自新村,2,1,54.9,东,,精装,0,低,7,1989,板楼,五里桥,72860,400,0,0
7号线,大华三路,甘泉苑,1,1,41.51,南,,简装,0,高,6,1988,板楼,甘泉宜川,50591,210,0,0
5号线南延伸段,东川路,畅馨园,3,2,131,南,,简装,1,高,11,2007,板楼,老闵行,43512,570,0,0
4号线,临平路,建邦16区,2,2,93.59,南,,简装,1,中,29,2016,板楼,临平路,98302,920,0,0
2号线,娄山关路,虹桥华庭,4,2,212.75,南,,精装,1,低,25,2004,板楼,仙霞,94008,2000,0,0
13号线,长寿路,延平路481弄,1,0,27.95,北,,简装,0,高,6,1979,板楼,曹家渡,73346,205,0,0
2号线,张江高科,汤臣豪园(二期) ,3,2,226.54,南,,精装,0,下,5,2003,板楼,张江,74160,1680,1,1
11号线(花桥-三林),李子园,杨家桥小区(普陀),1,1,44.59,南,,精装,0,高,6,1997,板楼,万里,41490,185,0,0
10号线(新江湾城-虹桥火车站),四平路,玉田新村,1,0,35.89,南,,简装,0,低,6,1957,板楼,曲阳,50154,180,0,0
13号线,淮海中路,艾格美国际公寓,2,2,100.69,南,北,精装,1,中,33,2006,板楼,南京西路,124144,1250,0,0
12号线,大木桥路,斜土路1358弄,2,0,50.06,南,,简装,0,高,6,1981,板楼,斜土路,71515,358,0,0
1号线,外环路,上海阳城,1,1,49.6,南,,精装,0,高,6,2003,板楼,梅陇,59476,295,0,0
6号线,源深体育中心,生安花苑,2,2,117.33,南,,其他,1,高,11,2001,板楼,源深,78412,920,0,0
2号线,东昌路,梅园新村(浦东),2,1,46.15,南,,精装,0,高,6,1981,板楼,源深,100759,465,0,0
2号线,娄山关路,天山路1922弄,2,1,49.19,南,北,精装,0,低,6,1992,板楼,中山公园,71763,353,0,0
6号线,航津路,博捷名苑,3,2,123.46,南,,精装,1,低,9,2004,板楼,外高桥,52649,650,0,0
13号线,金沙江路,曹杨六村(兰溪园),2,1,59.6,南,,简装,0,高,6,1988,板楼,曹杨,58725,350,0,0
4号线,塘桥,谢家宅小区,2,1,55.55,南,,精装,0,高,6,1986,板楼,陆家嘴,75608,420,0,0
12号线,大木桥路,西木小区,2,1,53.77,南,,精装,0,高,6,1982,板楼,斜土路,70672,380,0,0
8号线,西藏北路,青云路605弄,1,1,35.43,北,,精装,0,中,6,1985,板楼,西藏北路,62095,220,0,0
8号线,人民广场,淮海晶华苑,3,2,213.88,南,,精装,1,低,31,2006,板楼,新天地,98186,2100,0,0
11号线(花桥-三林),桃浦新村,桃浦六村绿春苑,2,1,63.68,南,,精装,0,高,6,1993,板楼,桃浦,38160,243,0,0
17号线,汇金路,佳乐苑,2,1,63.83,南,,简装,0,低,6,2005,板楼,夏阳,31020,198,0,0
11号线(花桥-三林),交通大学,新华路445弄,1,0,32.55,南,,精装,0,低,5,1964,板楼,新华路,64517,210,0,0
6号线,外高桥保税区北,海高二村,2,1,67.49,南,,精装,0,中,6,1994,板楼,外高桥,36302,245,0,0
10号线(新江湾城-虹桥火车站),虹桥路,新安公寓,3,2,119.95,南,,精装,1,低,13,2000,板楼,新华路,74865,898,0,0
8号线,翔殷路,翔顺公寓,3,2,96.72,南,,精装,0,高,6,2000,板楼,黄兴公园,54281,525,0,0
4号线,南浦大桥,中福花苑,1,1,44.97,东,,精装,1,低,15,2003,塔楼,蓬莱公园,80054,360,0,0
11号线(花桥-三林),徐家汇,电影华苑,1,2,81.25,南,,精装,1,中,21,2008,塔楼,徐家汇,86154,700,0,0
4号线,中山公园,长宁路1488弄,2,1,56.3,南,,精装,0,高,7,1989,板楼,中山公园,70160,395,0,0
8号线,延吉中路,控江东三村,2,1,51,南,,简装,0,低,6,1993,板楼,黄兴公园,56863,290,0,0
8号线,江浦路,双辽新村,1,0,43.12,南,,精装,1,高,7,1992,板楼,鞍山,58442,252,0,0
6号线,航津路,仁恒家园,4,2,208,南,,精装,1,中,7,2007,板楼,外高桥,69712,1450,0,0
13号线,马当路,蒙自路440弄,2,0,54.25,南,,精装,0,高,6,1986,板楼,五里桥,83871,455,0,0
7号线,大华三路,灵芝公寓,3,1,105.59,南,,简装,0,中,5,1990,板楼,甘泉宜川,54930,580,0,0
2号线,陆家嘴,仁恒滨江园,2,2,118.57,西南,,精装,1,中,31,2001,板楼,陆家嘴,113857,1350,0,0
12号线,金京路,阳光城市家园,3,2,107.74,南,,简装,1,低,14,2009,板楼,金桥,48265,520,0,0
12号线,巨峰路,证大家园(三期),3,2,96.44,南,,精装,1,低,9,2005,板楼,金桥,74658,720,0,0
7号线,昌平路,君御豪庭,3,2,160.58,南,,精装,1,中,37,2009,板楼,江宁路,110849,1780,0,0
13号线,汉中路,中海万锦城(四期),2,2,87.68,东南,,精装,1,中,21,2011,板楼,不夜城,62044,544,0,0
13号线,金运路,大宅风范城,3,1,81.01,南,,简装,1,低,13,2007,板楼,江桥,43822,355,0,0
9号线,商城路,崂山四村,1,1,31.85,南,,精装,0,中,4,1965,板楼,陆家嘴,69074,220,0,0
9号线,商城路,乳山四村,2,0,48.37,南,,精装,0,中,5,1986,板楼,陆家嘴,73393,355,0,0
17号线,漕盈路,旭辉玫瑰湾,4,2,147,南,,精装,1,低,14,2012,板楼,盈浦,33334,490,0,0
10号线(新江湾城-虹桥火车站),老西门,翠湖天地御苑,2,2,135.3,南,,精装,1,低,12,2006,板楼,新天地,169993,2300,0,0
12号线,龙漕路,宏润花园,3,2,132.02,南,,精装,1,高,33,2005,板楼,万体馆,94683,1250,0,0
12号线,七莘路,黎安一村,2,1,64.76,南,,简装,0,高,6,1994,板楼,莘庄,42619,276,0,0
13号线,隆德路,锦绿新城,2,2,104.5,南,,精装,1,中,32,2002,板楼,武宁,69666,728,0,0
13号线,隆德路,华电小区,1,1,41.65,南,,简装,0,高,6,1986,板楼,中山公园,67227,280,0,0
9号线,商城路,朱家滩小区,1,1,32.89,南,,精装,0,中,6,1984,板楼,潍坊,135300,445,0,0
10号线(新江湾城-虹桥火车站),五角场,创智坊(公寓),2,2,117.7,南,,精装,0,中,6,2006,板楼,五角场,70944,835,0,0
7号线,美兰湖,远洋7号,2,2,90,南,北,毛坯,1,中,11,2012,板楼,罗店,42223,380,0,0
7号线,昌平路,康定大楼(公寓),3,2,123.4,南,,其他,1,高,19,1996,板楼,江宁路,76986,950,0,0
13号线,金沙江路,华府樟园,4,2,273.68,南,,精装,1,高,21,2013,板楼,武宁,97925,2680,0,0
10号线(新江湾城-虹桥火车站),国权路,林绿家园,2,1,46.36,南,,精装,0,低,6,1986,板楼,五角场,74418,345,0,0
4号线,中潭路,中远两湾城,3,2,120,南,,精装,1,中,34,2003,板楼,中远两湾城,72084,865,0,0
7号线,杨高南路,由由七村,1,1,49.66,南,,其他,0,高,6,1995,板楼,北蔡,46315,230,0,0
7号线,岚皋路,石岚三村,2,1,56.7,南,北,简装,0,高,6,1987,板楼,真如,49030,278,0,0
1号线,汶水路,新悦坊,2,1,73.8,南,,毛坯,1,低,18,2010,板楼,永和,54201,400,0,0
6号线,金桥路,金鹏苑,2,2,70.23,南,,精装,0,中,6,1997,板楼,金桥,58807,413,0,0
9号线,打浦桥,北蒙三小区,1,0,23.3,北,,简装,0,高,7,1989,板楼,五里桥,93134,217,0,0
6号线,民生路,陆家嘴花园(二期),2,2,103.5,南,,简装,1,低,7,2004,板楼,源深,104348,1080,0,0
3号线,漕溪路,华鼎广场,3,1,149.36,南,,精装,1,低,31,2003,塔楼,田林,64275,960,0,0
11号线(花桥-三林),交通大学,法华镇路101弄,1,1,43.74,南,,精装,1,低,9,1984,板楼,新华路,73160,320,0,0
12号线,顾戴路,江南星城,2,2,89.67,南,,简装,0,中,6,2004,板楼,古美,60221,540,0,0
9号线,星中路,秀枫翠谷,3,2,95,南,,精装,0,低,6,1994,板楼,七宝,60422,574,0,0
11号线(嘉定北-迪士尼),御桥,御桥花园,3,2,112,南,,精装,0,高,6,1996,板楼,御桥,50893,570,0,0
7号线,云台路,上南七村,1,1,41.84,南,,精装,0,中,6,1988,板楼,世博,48997,205,0,0
6号线,德平路,广洋苑,2,2,95.58,南,,简装,1,高,9,2002,板楼,金杨,81608,780,0,0
7号线,杨高南路,由由四村,2,1,56.8,南,北,简装,0,高,6,1997,板楼,北蔡,52465,298,0,0
7号线,杨高南路,由由一村,2,1,65.43,南,北,精装,0,高,6,1997,板楼,北蔡,47379,310,0,0
7号线,芳华路,高科西路2763弄,2,1,50.5,南,,精装,0,高,5,1994,板楼,北蔡,53466,270,0,0
1号线,呼兰路,呼玛三村,2,1,58.65,南,,毛坯,0,中,6,1994,板楼,张庙,49105,288,0,0
10号线(新江湾城-虹桥火车站),水城路,名都城(公寓),3,2,157.28,西南,,简装,1,低,16,1998,板塔结合,金虹桥,59639,938,0,0
10号线(新江湾城-虹桥火车站),虹桥路,新安公寓,3,2,131.91,南,,简装,1,低,13,2000,板楼,新华路,73384,968,0,0
7号线,新村路,双山小区,2,1,59.52,南,,精装,0,高,7,1991,板楼,甘泉宜川,50404,300,0,0
8号线,江浦路,鞍山四村第三小区,2,1,49.66,南,,简装,0,中,5,1964,板楼,鞍山,62425,310,0,0
2号线,东昌路,菊园,2,2,101.41,南,,精装,1,高,32,2000,塔楼,陆家嘴,85791,870,0,0
9号线,肇嘉浜路,肇嘉浜路853弄,2,1,45.94,南,,精装,0,中,7,1980,板楼,徐家汇,78364,360,0,0
12号线,龙漕路,兆嘉园,2,1,74.81,南,,简装,0,中,7,1996,板楼,万体馆,66168,495,0,0
4号线,南浦大桥,独立时代,1,0,36.34,南,,简装,1,高,24,2005,塔楼,蓬莱公园,54486,198,0,0
12号线,隆昌路,双阳路291弄,2,0,52.5,南,,精装,0,高,6,1989,板楼,周家嘴路,48572,255,0,0
7号线,高科西路,博爱家园,4,2,92.16,南,北,简装,0,高,6,2002,板楼,世博,73785,680,0,0
1号线,新闸路,光明小区,2,1,54.41,南,北,精装,0,高,5,1985,板楼,南京西路,85463,465,0,0
11号线(花桥-三林),龙耀路,龙南七村,3,2,101.74,南,,简装,0,中,7,1995,板楼,龙华,52979,539,0,0
7号线,锦绣路,海上国际花园(一期),3,2,133.73,南,西南,精装,1,中,11,2005,板楼,北蔡,68048,910,0,0
7号线,场中路,环镇北路211弄,2,1,69.5,南,,简装,0,中,6,1998,板楼,上大,45324,315,0,0
3号线,水产路,海滨新村,2,1,49.62,南,,精装,0,中,5,1985,板楼,淞宝,40710,202,0,0
3号线,淞滨路,海滨新村,2,0,55.35,南,,简装,0,高,6,1988,板楼,淞宝,34328,190,0,0
17号线,青浦新城,宝宜苑,2,1,68.12,南,,简装,0,低,6,1998,板楼,盈浦,27892,190,0,0
浦江线,闵瑞路,水语人家北苑,2,1,77.12,南,,精装,1,中,17,2009,板楼,浦江,35011,270,0,0
12号线,杨高北路,华高一村,2,1,74.12,南,,简装,0,高,7,1995,板楼,高行,41825,310,0,0
6号线,德平路,罗山三村,1,1,51.41,南,,简装,0,高,6,1994,板楼,金杨,45711,235,0,0
13号线,南京西路,静安四季苑,3,2,155.43,南,,精装,1,中,37,2007,板楼,南京西路,128676,2000,0,0
8号线,杨思,海宏大厦,2,2,87.28,南,,简装,1,高,24,1997,塔楼,三林,48121,420,0,0
11号线(花桥-三林),徐家汇,乐山六七村,1,1,32,南,,简装,0,低,7,1988,板楼,徐家汇,89063,285,0,0
2号线,上海科技馆,建华公寓,2,1,79.79,南,,简装,0,高,6,1996,板楼,花木,75825,605,0,0
6号线,民生路,证大宽域,2,2,89,西南,,精装,1,高,20,2009,板楼,源深,93259,830,0,0
6号线,五莲路,东陆新村五街坊,2,1,71.31,南,,简装,0,低,6,2003,板楼,金桥,59599,425,0,0
12号线,东兰路,同济融创玫瑰公馆,2,1,72.34,南,,精装,1,高,17,2006,塔楼,古美,55986,405,0,0
6号线,云山路,金杨新村五街坊,1,1,48.57,南,北,简装,0,高,6,1994,板楼,金杨,47355,230,0,0
6号线,民生路,山水国际,2,2,109.42,南,,精装,1,低,29,2006,板楼,源深,107842,1180,0,0
2号线,川沙,东都小区,2,1,60.28,南,,精装,0,高,6,1987,板楼,川沙,39483,238,0,0
7号线,高科西路,浦三路759弄,2,2,88.78,南,,简装,0,高,6,1995,板楼,世博,48435,430,0,0
10号线(新江湾城-虹桥火车站),国权路,同济新村,2,1,58.87,南,,简装,0,高,6,1990,板楼,鞍山,73892,435,0,0
1号线,延长路,申地公寓,2,2,112.28,南,,精装,1,高,20,1999,塔楼,闸北公园,63235,710,0,0
5号线,闵行开发区,昆阳小区,2,1,68.96,南,,简装,0,低,6,1995,板楼,老闵行,31903,220,0,0
6号线,临沂新村,临沂七村,1,1,36.62,南,,简装,0,高,6,1990,板楼,南码头,47242,173,0,0
7号线,云台路,上南花苑(三期),3,2,136,南,,简装,0,高,6,2000,板楼,世博,58750,799,0,0
2号线,陆家嘴,仁恒滨江园,4,2,257.68,南,,精装,1,中,31,2003,板楼,陆家嘴,104782,2700,0,0
8号线,中华艺术宫,上南五村,1,1,51.15,西,北,简装,1,中,12,1988,板楼,世博,56696,290,0,0
4号线,临平路,远洋新村,2,2,55.55,南,,简装,0,高,5,1979,板楼,临平路,71108,395,0,0
17号线,徐盈路,绿中海明苑(公寓),2,2,88.41,南,,毛坯,1,低,8,2014,板楼,徐泾,43548,385,0,0
11号线(花桥-三林),真如,枫桥苑,2,2,115.32,南,,简装,1,高,18,2001,塔楼,真如,65037,750,0,0
1号线,衡山路,高安公寓,3,2,138.4,东南,,精装,1,低,24,1998,塔楼,衡山路,99711,1380,0,0
12号线,金京路,华高二村,2,2,72.02,南,,简装,0,高,6,1998,板楼,高行,43738,315,0,0
8号线,虹口足球场,掬水轩,4,2,133.44,南,,精装,1,中,8,2002,板楼,凉城,67072,895,0,0
7号线,静安寺,南阳小区,2,1,49,南,,精装,1,低,25,1990,塔楼,南京西路,91837,450,0,0
12号线,国际客运中心,旅顺路79号,1,0,42.24,南,,简装,1,中,10,1990,板楼,北外滩,87595,370,0,0
7号线,静安寺,高尚领域,3,2,122.65,南,,精装,1,中,38,2011,塔楼,真如,45251,555,0,0
11号线(花桥-三林),桃浦新村,桃浦五村杜鹃苑,1,1,42.24,南,,简装,0,高,6,1995,板楼,桃浦,37406,158,0,0
12号线,龙漕路,狮城花苑,2,1,62.32,南,北,简装,0,高,6,1995,板楼,龙华,60976,380,0,0
2号线,北新泾,新泾四村,1,1,39.56,南,,其他,0,中,6,1993,板楼,北新泾,56876,225,0,0
4号线,南浦大桥,瞿溪新村,1,1,45.06,南,,精装,0,高,6,1964,板楼,世博滨江,75455,340,0,0
13号线,世博大道,上南花城,4,2,175.5,南,,精装,1,中,11,2002,板楼,世博,76924,1350,0,0
8号线,鞍山新村,申安公寓,4,2,171.56,南,,精装,1,高,8,1999,板楼,鞍山,67615,1160,0,0
12号线,国际客运中心,香港丽园,3,2,150,南,,精装,1,中,24,2002,塔楼,临平路,64000,960,0,0
7号线,昌平路,昌平路988号,2,1,100.06,南,,简装,1,高,9,1995,板楼,曹家渡,87948,880,0,0
2号线,世纪公园,建华公寓,2,2,81.98,南,,精装,0,高,6,1995,板楼,花木,71969,590,0,0
